city,region
Brescia,Lombardia
Cosenza,Calabria
Ancona,Marche
Bergamo,Lombardia
Bolzano,Trentino-Alto_Adige
Verbano-Cussio-Ossola,Piemonte
Messina,Sicilia
Cremona,Lombardia
Viterbo,Lazio
Sondrio,Lombardia
L_Aquila,Abruzzo
Pavia,Lombardia
Verona,Veneto
Catanzaro,Calabria
Salerno,Campania
Novara,Piemonte
Reggio_Calabria,Calabria
Perugia,Umbria
Pescara,Abruzzo
Firenze,Toscana
Torino,Piemonte
La_Spezia,Liguria
Milano,Lombardia
Nuoro,Sardegna
Gorizia,Friuli-Venezia_Giulia
Isernia,Molise
Oristano,Sardegna
Vicenza,Veneto
Como,Lombardia
Lecce,Puglia
Catania,Sicilia
Foggia,Puglia
Ravenna,Emilia-Romagna
Rovigo,Veneto
Forli-Cesena,Emilia-Romagna
Roma,Lazio
Alessandria,Piemonte
Chieti,Abruzzo
Biella,Piemonte
Aosta,Valle_d_Aosta
Ferrara,Emilia-Romagna
Lucca,Toscana
Parma,Emilia-Romagna
Ascoli_Piceno,Marche
Belluno,Veneto
Frosinone,Lazio
Rieti,Lazio
Palermo,Sicilia
Varese,Lombardia
Avellino,Campania
Terni,Umbria
Piacenza,Emilia-Romagna
Potenza,Basilicata
Treviso,Veneto
Latina,Lazio
Viterbo_Valentia,Calabria
Modena,Emilia-Romagna
Teramo,Abruzzo
Venezia,Veneto
Sassari,Sardegna
Siena,Toscana
Grosseto,Toscana
Bologna,Emilia-Romagna
Caserta,Campania
Genova,Liguria
Trento,Trentino-Alto_Adige
Campobasso,Molise
Vercelli,Piemonte
Napoli,Campania
Reggio_Emilia,Emilia-Romagna
Pistoia,Toscana
Macerata,Marche
Lecco,Lombardia
Imperia,Liguria
Pesaro_e_Urbino,Marche
Cuneo,Piemonte
Cagliari,Sardegna
Padova,Veneto
Crotone,Calabria
Bari,Puglia
Enna,Sicilia
Trapani,Sicilia
Savona,Liguria
Udine,Friuli-Venezia_Giulia
Matera,Basilicata
Pordenone,Friuli-Venezia_Giulia
Asti,Piemonte
Massa-Carrara,Toscana
Lodi,Lombardia
Taranto,Puglia
Rimini,Emilia-Romagna
Siracusa,Sicilia
Mantova,Lombardia
Arezzo,Toscana
Benevento,Campania
Livorno,Toscana
Pisa,Toscana
Brindisi,Puglia
Prato,Toscana
Agrigento,Sicilia
Caltanissetta,Sicilia
Trieste,Friuli-Venezia_Giulia
Ragusa,Sicilia
